"Series Description","Bank credit, all commercial banks, seasonally adjusted","Securities in bank credit, all commercial banks, seasonally adjusted","Loans and leases in bank credit, all commercial banks, seasonally adjusted","Commercial and industrial loans, all commercial banks, seasonally adjusted","Real estate loans, all commercial banks, seasonally adjusted","Consumer loans, all commercial banks, seasonally adjusted","Cash assets, all commercial banks, seasonally adjusted","Deposits, all commercial banks, seasonally adjusted","Large time deposits, all commercial banks, seasonally adjusted","Other deposits, all commercial banks, seasonally adjusted","Total assets, all commercial banks, seasonally adjusted","Total liabilities, all commercial banks, seasonally adjusted","Borrowings, all commercial banks, seasonally adjusted","Other liabilities, all commercial banks, seasonally adjusted"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H8/H8/B1001NCBA","H8/H8/B1002NCBA","H8/H8/B1020NCBA","H8/H8/B1023NCBA","H8/H8/B1026NCBA","H8/H8/B1029NCBA","H8/H8/B1048NCBA","H8/H8/B1058NCBA","H8/H8/B1072NCBA","H8/H8/B1110NCBA","H8/H8/B1151NCBA","H8/H8/B1152NCBA","H8/H8/B3094NCBA","H8/H8/B3095NCBA"
"Time Period","B1001NCBA","B1002NCBA","B1020NCBA","B1023NCBA","B1026NCBA","B1029NCBA","B1048NCBA","B1058NCBA","B1072NCBA","B1110NCBA","B1151NCBA","B1152NCBA","B3094NCBA","B3095NCBA"
2020-09-09,14977352.1,4450997.7,10526354.4,2786499.6,4676742.2,1511555.5,2895309.2,15652424.5,1588774.0,14063650.6,20106646.5,18076552.3,1791467.4,652582.6
2020-09-16,14965433.0,4453444.2,10511988.8,2766244.4,4679305.2,1511790.5,2946171.4,15730509.0,1585926.2,14144582.7,20201497.8,18166174.1,1755752.8,670809.9
2020-09-23,14970045.9,4466637.6,10503408.2,2753138.2,4679996.2,1510937.3,2976551.6,15714807.4,1585872.5,14128934.9,20200780.8,18162077.2,1779510.9,666271.4
2020-09-30,14969932.3,4481423.9,10488508.3,2725210.4,4685329.8,1514614.0,2905447.0,15681266.1,1560259.0,14121007.1,20077862.7,18031812.2,1709947.1,624314.0
2020-10-07,14971912.7,4501711.9,10470200.7,2714843.5,4684223.0,1513733.1,2936318.2,15691198.6,1555632.8,14135565.8,20154125.8,18102973.4,1764617.9,662296.1
2020-10-14,14966741.6,4520135.0,10446606.7,2702940.0,4670007.4,1514881.6,2987403.4,15794182.3,1553038.0,14241144.3,20203814.9,18134728.5,1728349.1,648984.2
2020-10-21,14978224.0,4531112.6,10447111.4,2704019.5,4671691.1,1516184.5,3039665.6,15794231.7,1545911.3,14248320.4,20219843.3,18148548.7,1753237.3,648869.7
2020-10-28,14981906.6,4560327.0,10421579.6,2688792.3,4664694.3,1515564.2,3035585.4,15829915.9,1535176.1,14294739.8,20228413.1,18158652.7,1744923.3,649684.8
2020-11-04,15016567.4,4609709.6,10406857.8,2661244.7,4665949.7,1517000.5,3048692.9,15880488.9,1520656.5,14359832.4,20262316.9,18199863.1,1726508.3,649188.0
2020-11-11,15024999.9,4604926.7,10420073.1,2653427.0,4668976.2,1516564.4,3003792.8,15878189.8,1524935.7,14353254.2,20227343.8,18159606.5,1708081.0,641483.0
2020-11-18,15027998.6,4644479.3,10383519.3,2637178.5,4655290.3,1514567.4,3043778.3,15901644.5,1517629.3,14384015.2,20258964.4,18191938.6,1728972.9,642874.2
2020-11-25,15024221.8,4661687.4,10362534.5,2625184.1,4646480.3,1515459.3,3120415.1,15979960.2,1516411.2,14463548.9,20364184.0,18298865.6,1733276.4,667967.0
2020-12-02,15036777.6,4688254.8,10348522.8,2616857.1,4640997.1,1514111.0,3068728.4,15970471.7,1510783.7,14459688.1,20315381.1,18224553.7,1715291.3,669932.5
2020-12-09,15023718.0,4683745.5,10339972.5,2604608.5,4640237.7,1518006.3,3048996.1,15999426.0,1509726.4,14489699.6,20334404.7,18237683.1,1730983.4,665649.3
2020-12-16,15041142.8,4699920.4,10341222.4,2592141.2,4640294.9,1519067.5,3092656.8,16031360.9,1501022.4,14530338.5,20406531.5,18287136.6,1713274.3,680666.6
2020-12-23,15043489.2,4703247.6,10340241.6,2582435.8,4643504.7,1521119.0,3171018.2,16020494.8,1492122.7,14528372.2,20457656.9,18323044.1,1690000.8,683360.2
2020-12-30,15062773.7,4719739.0,10343034.7,2579673.9,4643326.4,1519252.3,3244983.8,16073702.9,1485206.4,14588496.6,20537602.0,18386155.7,1681775.3,673405.6
2021-01-06,15082061.3,4741879.6,10340181.7,2572713.0,4656751.8,1520404.9,3151908.6,16123579.7,1471823.3,14651756.4,20520199.8,18387079.0,1653896.0,709148.0
2021-01-13,15071914.6,4745540.1,10326374.6,2561122.2,4664664.4,1516249.6,3141160.5,16155282.5,1473030.3,14682252.2,20490417.2,18399270.3,1643153.7,723535.0
2021-01-20,15083959.9,4763927.3,10320032.7,2554925.6,4654689.2,1518674.9,3201103.5,16164592.5,1471661.1,14692931.5,20517379.9,18418942.8,1654367.5,705630.0
2021-01-27,15126976.3,4798829.7,10328146.7,2556443.7,4652145.8,1516867.4,3270667.3,16258316.2,1481340.4,14776975.7,20569058.3,18483264.6,1662161.7,694823.8
2021-02-03,15170477.4,4823648.9,10346828.5,2568676.8,4652577.1,1518339.7,3253782.1,16287421.8,1467830.4,14819591.5,20599302.7,18502258.1,1683513.6,692350.3
2021-02-10,15190546.9,4827552.2,10362994.7,2575932.5,4659108.9,1520232.8,3297507.7,16336365.5,1457839.7,14878525.9,20684217.0,18590987.5,1690251.6,679679.0
2021-02-17,15222421.3,4846917.8,10375503.6,2591476.6,4646872.0,1521643.9,3419028.4,16430331.4,1453329.9,14977001.5,20766249.7,18676349.2,1713440.5,664975.2
2021-02-24,15249377.2,4869401.1,10379976.1,2596512.7,4644427.3,1521112.2,3379288.2,16404809.2,1458553.9,14946255.2,20743130.7,18660717.5,1709924.8,689351.7
2021-03-03,15298532.1,4914692.9,10383839.2,2594244.2,4648110.9,1524282.7,3470796.5,16471220.4,1455965.5,15015255.0,20795534.4,18719902.3,1716387.9,697122.8
2021-03-10,15322405.5,4933371.2,10389034.3,2595121.2,4650010.6,1526376.0,3481766.6,16527662.5,1452588.2,15075074.2,20849472.1,18796537.3,1721453.0,698333.3
2021-03-17,15335250.3,4977576.8,10357673.5,2583216.1,4639502.0,1526014.2,3643389.4,16712628.3,1462515.4,15250112.9,20996043.6,18975823.1,1719495.2,696367.3
2021-03-24,15368558.4,5002231.0,10366327.5,2589416.0,4641459.8,1521294.2,3631146.6,16726899.8,1458773.1,15268126.7,21033928.1,19016700.5,1740334.7,688739.7
2021-03-31,15375100.2,5008675.8,10366424.4,2576971.0,4641972.3,1524839.4,3552032.1,16727391.5,1445994.8,15281396.8,20980412.5,18909572.0,1648992.2,690169.7
2021-04-07,15373369.3,5016579.7,10356789.6,2567940.1,4650303.9,1524229.9,3705843.4,16779239.2,1442867.3,15336371.9,21169871.7,19096796.6,1750772.1,704816.6
2021-04-14,15405115.9,5063750.4,10341365.5,2555456.0,4644867.1,1521521.5,3789894.9,16877781.1,1440370.3,15437410.8,21258699.1,19175970.7,1739879.3,672380.6
2021-04-21,15417335.3,5087444.0,10329891.3,2549581.4,4634982.7,1523060.0,3819661.7,16889841.2,1433055.4,15456785.8,21314459.4,19205214.2,1732165.5,670490.7
2021-04-28,15453626.0,5110940.6,10342685.5,2551652.2,4635730.7,1529385.8,3936466.2,16968961.0,1424616.2,15544344.8,21448762.7,19336693.7,1719006.7,699617.8
2021-05-05,15506908.1,5153636.3,10353271.8,2552890.6,4634208.5,1532510.6,3946915.1,17059062.3,1416867.9,15642194.4,21489665.5,19363366.7,1695552.6,676919.0
2021-05-12,15537477.0,5164356.7,10373120.3,2556913.5,4641661.8,1539695.8,3918100.7,17116417.3,1420444.2,15695973.1,21505593.5,19413441.6,1686599.4,688716.0
2021-05-19,15563477.1,5189633.0,10373844.0,2548768.7,4634918.2,1547532.1,3813498.9,17097053.9,1424740.4,15672313.5,21429965.3,19343954.5,1666222.1,668513.3
2021-05-26,15574057.1,5206809.1,10367247.9,2540401.2,4633637.7,1552160.8,3792333.0,17066934.3,1439142.2,15627792.1,21430995.0,19365953.4,1692282.8,684779.5
2021-06-02,15589506.5,5233666.3,10355840.1,2523475.6,4631934.6,1553371.5,3784410.4,17080299.2,1433452.1,15646847.1,21421950.9,19350596.4,1673837.7,679658.4
2021-06-09,15606038.8,5239875.7,10366163.0,2513498.2,4643302.5,1556256.7,3781688.1,17173615.5,1448444.6,15725170.9,21485662.1,19432099.5,1680860.5,677035.5
2021-06-16,15578136.8,5250503.7,10327633.1,2469577.2,4646709.7,1557863.9,3812625.9,17120187.3,1430004.7,15690182.6,21456163.3,19383974.0,1669143.5,662841.7
2021-06-23,15576737.1,5254362.6,10322374.5,2456378.7,4651183.1,1562055.4,3804452.5,17098291.1,1425062.6,15673228.5,21466673.4,19402836.4,1642309.9,709325.9
2021-06-30,15624459.6,5272948.4,10351511.2,2452216.8,4656074.9,1569037.1,3610217.5,17052291.5,1414522.6,15637768.8,21283768.2,19127401.2,1513164.5,659799.2
2021-07-07,15642238.6,5286221.4,10356017.2,2453229.5,4655526.0,1570540.4,3856461.4,17132026.0,1424055.5,15707970.5,21520977.1,19329215.8,1638153.3,676397.8
2021-07-14,15655572.1,5293874.5,10361697.6,2452414.8,4654600.6,1571645.9,3927454.1,17203305.2,1415326.3,15787978.9,21646851.0,19456402.3,1663718.4,669010.1
2021-07-21,15656163.4,5282199.4,10373964.0,2448218.2,4663285.3,1575704.4,3999611.4,17262636.4,1404281.2,15858355.2,21730382.6,19542349.8,1651749.4,665798.3
2021-07-28,15691190.3,5298444.4,10392745.9,2449069.4,4675116.3,1577660.1,4002597.1,17248899.0,1402771.7,15846127.3,21749484.3,19558646.9,1665037.4,664052.8
2021-08-04,15719430.0,5317773.6,10401656.3,2443657.9,4681214.2,1582302.9,4009356.7,17272119.5,1402538.2,15869581.4,21820355.4,19610487.0,1684702.8,675684.0
2021-08-11,15721939.5,5312458.3,10409481.3,2434004.4,4690131.4,1585614.5,4017451.7,17326278.1,1413446.3,15912831.8,21810613.6,19634824.0,1673358.5,675845.2
2021-08-18,15752543.5,5341983.9,10410559.7,2423357.6,4687218.0,1588851.4,4096007.5,17392066.4,1416153.3,15975913.1,21943427.2,19751407.5,1682113.3,684163.0
2021-08-25,15773118.7,5350336.6,10422782.2,2421156.3,4695826.1,1589196.1,4097102.4,17447986.0,1408079.0,16039907.0,21959620.2,19780389.4,1649997.5,675450.2
2021-09-01,15833830.2,5391710.7,10442119.5,2424705.2,4699963.2,1591009.6,4133720.7,17495818.5,1410906.4,16084912.2,22062750.8,19862133.6,1681676.6,682964.8
2021-09-08,15834563.0,5387432.4,10447130.6,2422759.6,4703449.2,1593901.4,4111829.9,17475829.5,1409382.0,16066447.5,22062024.3,19894051.0,1687499.4,697328.6
2021-09-15,15864508.4,5411039.7,10453468.6,2418615.2,4704176.3,1593205.2,4195047.9,17556437.6,1414465.3,16141972.2,22175049.0,19963928.8,1689008.2,679837.6
2021-09-22,15871128.2,5428436.6,10442691.6,2409635.2,4710372.9,1595339.5,4190253.9,17523319.2,1405412.6,16117906.6,22175313.8,19961864.8,1663319.8,677479.7
2021-09-29,15940343.6,5473880.6,10466463.0,2415350.0,4715158.1,1605063.2,4191587.5,17535002.8,1400696.5,16134306.3,22204966.6,19966142.3,1677272.8,684722.1
2021-10-06,15982503.5,5509139.0,10473364.5,2414537.3,4718999.4,1606215.1,4180526.4,17589514.4,1411064.3,16178450.0,22288846.7,20062029.9,1714727.3,691332.7
2021-10-13,16029091.4,5529838.0,10499253.5,2416141.4,4729272.8,1611725.2,4174811.8,17610385.0,1404986.0,16205399.0,22326755.6,20099208.5,1713623.4,665112.8
2021-10-20,16073998.0,5566015.5,10507982.5,2421439.6,4730049.8,1613664.5,4121105.1,17670705.3,1416061.6,16254643.7,22361436.5,20127445.0,1689927.9,702393.4
2021-10-27,16089785.9,5572221.6,10517564.3,2423856.2,4733364.6,1617427.0,4132693.1,17708419.2,1419438.3,16288980.9,22375130.3,20171449.9,1683074.0,707672.8
2021-11-03,16164544.9,5611193.4,10553351.5,2436570.9,4745092.9,1620437.0,4164060.8,17735728.6,1435865.0,16299863.7,22465233.6,20240469.5,1721733.0,686820.8
2021-11-10,16173864.8,5613851.6,10560013.2,2436659.2,4745673.7,1625242.3,4119161.3,17766291.8,1448441.5,16317850.2,22474620.7,20277627.4,1729362.1,681626.2
2021-11-17,16209193.2,5626960.8,10582232.4,2432348.9,4766312.4,1629957.6,4099352.8,17807117.7,1438272.7,16368845.0,22505925.2,20313796.0,1724298.9,711931.7
2021-11-24,16247296.1,5647138.0,10600158.1,2430977.5,4771770.6,1635463.5,4080423.5,17851218.5,1435678.3,16415540.3,22520746.1,20351791.9,1699382.8,716500.0
2021-12-01,16289553.6,5657677.9,10631875.8,2446350.6,4774671.1,1640182.5,4182488.1,17887600.6,1424917.5,16462683.0,22641321.5,20427344.8,1741217.1,680259.9
2021-12-08,16302987.6,5646677.6,10656310.0,2454545.4,4780785.9,1643707.1,4091610.3,17880780.7,1421625.4,16459155.4,22591703.9,20403631.0,1713890.0,694060.9
2021-12-15,16376130.1,5683656.1,10692474.0,2470070.5,4784646.5,1646098.5,4071920.1,17914997.5,1413913.6,16501083.9,22562996.4,20354048.5,1680634.0,654597.9
2021-12-22,16437664.3,5709028.9,10728635.3,2482720.0,4789611.1,1650127.6,4050148.2,17933153.7,1403967.7,16529186.1,22616372.1,20385897.6,1656924.9,667005.4
2021-12-29,16478623.3,5716024.0,10762599.2,2487304.1,4803655.9,1652457.3,4041938.4,17897919.8,1391294.0,16506625.8,22624079.1,20342777.5,1674400.9,669801.1
2022-01-05,16553849.9,5781728.5,10772121.4,2493899.4,4803516.7,1654846.3,4004013.9,17961160.8,1395804.8,16565355.9,22717584.3,20449806.1,1677819.0,702794.5
2022-01-12,16567420.6,5780353.7,10787066.9,2486038.3,4815704.3,1657896.6,3816336.3,17959817.0,1409606.2,16550210.8,22547015.3,20342445.2,1639018.5,697142.4
2022-01-19,16569617.9,5783856.4,10785761.5,2488118.7,4811222.6,1662407.3,3800146.3,18017508.2,1406749.8,16610758.4,22577280.7,20375193.7,1649580.2,695730.1
2022-01-26,16576875.8,5784644.5,10792231.3,2485534.1,4820298.7,1663657.8,3845443.9,18008394.3,1397139.7,16611254.6,22599605.2,20411739.5,1642761.2,670207.6
2022-02-02,16605588.6,5804294.6,10801294.0,2487630.1,4824126.3,1666672.0,3791978.2,18006366.2,1402315.2,16604051.0,22573297.8,20374455.6,1636366.7,664764.6
2022-02-09,16626999.6,5808541.3,10818458.3,2487358.6,4835357.4,1669784.3,3760353.2,18038152.2,1414683.7,16623468.5,22569505.6,20384701.3,1625161.3,683211.5
2022-02-16,16642479.3,5813389.5,10829089.8,2494940.4,4836383.0,1672234.8,3751829.4,18027057.5,1412308.0,16614749.5,22544014.5,20353672.0,1620359.5,657908.8
2022-02-23,16693202.9,5837200.2,10856002.7,2502068.5,4841933.9,1678644.1,3700260.9,18079338.2,1403798.6,16675539.7,22529458.8,20355524.4,1609578.6,656425.8
2022-03-02,16740774.2,5840472.7,10900301.5,2523124.6,4850732.0,1683757.1,3781523.4,18090758.8,1393343.8,16697415.0,22690818.5,20510465.0,1664431.3,670715.9
2022-03-09,16775352.3,5842890.7,10932461.6,2529678.3,4862421.7,1690438.5,3743277.7,18072145.0,1399053.8,16673091.2,22715934.8,20545776.7,1648961.6,681263.4
2022-03-16,16786922.4,5837647.3,10949275.1,2538983.4,4863437.3,1694805.6,3636364.3,18087327.7,1394814.3,16692513.4,22620873.8,20508509.6,1630681.9,691291.7
2022-03-23,16835437.8,5859104.9,10976332.9,2541289.2,4875929.5,1703387.1,3559601.6,18077337.8,1420387.8,16656950.0,22597882.2,20505677.9,1609196.7,705077.1
2022-03-30,16858205.6,5854622.9,11003582.7,2548449.2,4887704.4,1715482.9,3628538.7,18104267.5,1423880.0,16680387.4,22649200.4,20525989.4,1615074.2,702224.4
2022-04-06,16860377.7,5838995.0,11021382.7,2549414.5,4900928.0,1714553.3,3629752.5,18135436.0,1447325.7,16688110.3,22706743.1,20582481.3,1604857.6,730402.6
2022-04-13,16904833.2,5849196.5,11055636.7,2560313.2,4910205.1,1721805.2,3629266.4,18184215.1,1449371.4,16734843.7,22773717.3,20644655.9,1603985.0,737853.7
2022-04-20,16919241.7,5825366.0,11093875.8,2565526.3,4927415.5,1727713.9,3398352.5,18084983.1,1448928.0,16636055.2,22564725.9,20454301.7,1601294.8,721071.5
2022-04-27,16941019.3,5830040.3,11110979.0,2571389.1,4933997.2,1732820.2,3407044.6,18109167.1,1453700.5,16655466.6,22616488.1,20503407.9,1602719.0,731153.0
2022-05-04,16948891.0,5807150.5,11141740.5,2584709.1,4947207.5,1734772.6,3435965.9,18119727.7,1451551.3,16668176.4,22632980.5,20536947.7,1593259.1,719533.0
2022-05-11,17000396.3,5813391.1,11187005.1,2595152.2,4960256.0,1739134.0,3329588.9,18070955.7,1447511.8,16623443.9,22623586.0,20542756.9,1609494.9,722397.5
2022-05-18,17021942.8,5812504.9,11209437.8,2605977.7,4971003.5,1741784.8,3305400.1,18079618.7,1451094.3,16628524.3,22627445.2,20544529.4,1610443.6,723790.3
2022-05-25,17069799.9,5818815.0,11250984.8,2620109.8,4983026.9,1746904.6,3314209.3,18130872.7,1454815.0,16676057.7,22666626.3,20603292.8,1606295.4,725847.1
2022-06-01,17086559.1,5801954.3,11284604.7,2633619.6,4994853.9,1750198.0,3331316.1,18101296.2,1460447.2,16640849.0,22673805.7,20577368.3,1603598.5,721218.2
2022-06-08,17118772.5,5798172.5,11320600.0,2648976.2,5009215.6,1755147.0,3196285.0,18035098.8,1475196.6,16559902.2,22574937.7,20508659.5,1586997.7,729950.4
2022-06-15,17117659.3,5767062.9,11350596.4,2661915.2,5016950.4,1756310.7,3166299.7,18013515.4,1471621.8,16541893.5,22543400.7,20484232.8,1600816.3,739262.8
2022-06-22,17165884.4,5769369.0,11396515.4,2675231.3,5028314.4,1766016.3,3181632.4,18054449.0,1467391.4,16587057.7,22615233.2,20558745.4,1659452.5,730665.3
2022-06-29,17181680.5,5771288.3,11410392.2,2677509.7,5041243.3,1772198.9,3253029.5,18000523.3,1463486.5,16537036.9,22654539.5,20549151.6,1653453.7,742932.9
2022-07-06,17209340.3,5776899.1,11432441.2,2688677.5,5046040.2,1774598.4,3319702.1,17992366.8,1478552.6,16513814.1,22809021.2,20673029.3,1693112.3,749045.2
2022-07-13,17232307.3,5772900.7,11459406.6,2690130.3,5059720.6,1775635.3,3356693.8,18016796.6,1495760.8,16521035.8,22848577.5,20709888.5,1668819.1,759637.8
2022-07-20,17251016.5,5757448.6,11493567.9,2698933.4,5076649.6,1779403.0,3321105.5,18023144.6,1505853.9,16517290.7,22831017.2,20702786.2,1671623.4,761761.8
2022-07-27,17281660.5,5770404.1,11511256.4,2703788.2,5083626.2,1780635.4,3368316.5,18073298.9,1493087.7,16580211.3,22869746.6,20713902.8,1667130.9,748751.4
2022-08-03,17297947.7,5768414.1,11529533.6,2712897.6,5097950.3,1783314.0,3414064.4,17989605.8,1516630.9,16472974.8,22938635.8,20743391.2,1684753.6,738369.6
2022-08-10,17323351.3,5758830.3,11564521.0,2719185.1,5111862.8,1785016.1,3385083.0,18028160.1,1524246.9,16503913.2,22954472.4,20789248.4,1675268.6,740691.9
2022-08-17,17329062.2,5744889.6,11584172.6,2725714.8,5120216.1,1786261.4,3378042.1,18025115.4,1535747.4,16489368.0,22932077.2,20775869.3,1667820.9,735507.6
2022-08-24,17329792.8,5724829.5,11604963.3,2730048.2,5132094.9,1790350.5,3329001.0,18051289.7,1548857.5,16502432.2,22959305.4,20825512.9,1670172.7,775446.9
2022-08-31,17320549.0,5697588.2,11622960.7,2723177.7,5147334.7,1796894.5,3304821.2,18012743.5,1575447.6,16437295.9,22893149.2,20749521.8,1659045.4,761926.6
2022-09-07,17324496.7,5692669.0,11631827.7,2732136.9,5150667.6,1797291.5,3324542.6,17943660.3,1566448.5,16377211.8,22874885.7,20713247.5,1701292.9,738384.4
2022-09-14,17342973.9,5677905.9,11665067.9,2746599.7,5159857.2,1800244.3,3272104.2,17962624.9,1576484.7,16386140.1,22864962.0,20724090.7,1719143.0,772245.1
2022-09-21,17359773.3,5657895.1,11701878.2,2755277.5,5172064.9,1803729.8,3202280.0,17944933.7,1553425.7,16391508.0,22820173.5,20696525.2,1740294.7,771284.6
2022-09-28,17347610.4,5637146.3,11710464.1,2752431.6,5181433.5,1808818.0,3231628.2,17871775.9,1571219.3,16300556.6,22857610.9,20712349.0,1780845.0,799538.5
2022-10-05,17352151.5,5604196.3,11747955.2,2766159.9,5190851.7,1816405.7,3208167.0,17805352.1,1522105.1,16283247.0,22801172.7,20671224.3,1752398.8,764315.7
2022-10-12,17355841.9,5581222.3,11774619.6,2772280.0,5200294.5,1820018.0,3177822.6,17793701.2,1529579.3,16264121.9,22770125.0,20644441.8,1758341.0,795821.9
2022-10-19,17355748.0,5570922.3,11784825.7,2769629.7,5210081.7,1823408.6,3181515.0,17775775.1,1544211.3,16231563.8,22776793.0,20650772.4,1759793.4,797801.8
2022-10-26,17373448.1,5563679.7,11809768.5,2775502.4,5221064.7,1824315.8,3220390.4,17807709.4,1545314.3,16262395.2,22841041.6,20720381.2,1774478.5,785863.2
2022-11-02,17381123.3,5543210.7,11837912.6,2782068.9,5233369.6,1825689.2,3150882.0,17735923.5,1556332.0,16179591.5,22792136.9,20653359.5,1801287.8,797655.6
2022-11-09,17388184.1,5535729.2,11852454.8,2792344.0,5239817.4,1826549.6,3149692.4,17748403.4,1573954.7,16174448.6,22804966.7,20680898.9,1813171.2,800399.8
2022-11-16,17413127.1,5540806.9,11872320.2,2793747.8,5250645.8,1826720.2,3220297.2,17754990.5,1592690.8,16162299.7,22910391.9,20775113.9,1842606.8,796928.5
2022-11-23,17423327.1,5530283.1,11893044.0,2798752.0,5261798.1,1832554.2,3208474.2,17770738.9,1606233.5,16164505.5,22972983.3,20845292.4,1857673.1,822945.7
2022-11-30,17432357.2,5535725.6,11896631.6,2788297.9,5273198.7,1837464.2,3144984.3,17698112.6,1615077.9,16083034.7,22857417.3,20706369.4,1839697.7,805225.6
2022-12-07,17530550.9,5549268.3,11981282.5,2801491.4,5332527.2,1837004.4,3164931.6,17784858.6,1645310.5,16139548.0,22934899.5,20754953.7,1863469.0,783801.3
2022-12-14,17526400.0,5532561.0,11993838.9,2806650.4,5341670.2,1839840.8,3169295.5,17770671.2,1654503.5,16116167.7,22957964.7,20767211.5,1892076.1,801415.3
2022-12-21,17502254.6,5508411.3,11993843.3,2795709.2,5356826.1,1840187.9,3134419.0,17768405.2,1668117.1,16100288.1,22920821.0,20728010.9,1890228.0,793675.3
2022-12-28,17498519.4,5510755.9,11987763.5,2796125.7,5362117.4,1839285.5,3119042.3,17739129.8,1670096.4,16069033.4,22895870.0,20695180.6,1922464.4,791300.4
2023-01-04,17516426.5,5505048.1,12011378.5,2805302.3,5360552.1,1843309.1,3199144.1,17775575.7,1700165.0,16075410.6,22989225.1,20777117.9,1937675.3,808333.6
2023-01-11,17530726.1,5515148.2,12015577.9,2810683.1,5358477.7,1845031.0,3145397.3,17687818.8,1700014.9,15987803.9,22925143.7,20751067.5,1899740.5,779032.3
2023-01-18,17555728.3,5514166.7,12041561.6,2813639.9,5372672.7,1850420.1,3226604.8,17731029.3,1715708.1,16015321.2,23061105.6,20868025.9,1908919.9,789903.7
2023-01-25,17566941.1,5504211.1,12062729.9,2821393.1,5380619.2,1848286.3,3115715.3,17734940.9,1735874.5,15999066.3,22969352.0,20801352.0,1921347.5,782952.7
2023-02-01,17595228.6,5513306.2,12081922.3,2816226.6,5389616.9,1849172.5,3194862.0,17724947.4,1738012.7,15986934.7,23084221.7,20887264.8,1953748.3,784119.3
2023-02-08,17588181.6,5505630.1,12082551.5,2810459.8,5393865.2,1849460.8,3143980.5,17683217.7,1756549.7,15926668.0,23011664.6,20803957.0,1934414.6,767962.7
2023-02-15,17594245.5,5493932.2,12100313.3,2806784.2,5407704.0,1852926.3,3182125.5,17700373.3,1775743.9,15924629.5,23049469.9,20829669.8,1957000.4,778949.8
2023-02-22,17577610.3,5483492.5,12094117.8,2803874.4,5418723.7,1854935.2,3102497.9,17670578.5,1790829.3,15879749.3,22990790.5,20780204.1,1967477.3,800224.9
2023-03-01,17561504.5,5454074.8,12107429.7,2806957.6,5425980.8,1855666.4,3069343.5,17662352.3,1811168.8,15851183.5,22921820.1,20725399.0,1980989.8,764193.3
2023-03-08,17540854.4,5440673.1,12100181.3,2800409.6,5429563.7,1861881.4,3003480.7,17576771.8,1836375.8,15740396.0,22857092.7,20654435.4,1961722.4,789724.3
2023-03-15,17579621.1,5421278.9,12158342.2,2823547.5,5442578.9,1864673.1,3331555.1,17438230.1,1818113.8,15620116.3,23196403.0,21062520.4,2488027.3,752103.7
2023-03-22,17456517.7,5354284.1,12102233.6,2789567.3,5411022.0,1868324.8,3301941.1,17310822.7,1831164.9,15479657.9,23059711.3,20949379.4,2508204.4,762227.4
2023-03-29,17325886.6,5231728.1,12094158.5,2779796.3,5411870.2,1870424.2,3390234.6,17242248.5,1840780.0,15401468.5,23041310.9,20872158.8,2441582.5,789126.1
2023-04-05,17351724.7,5262678.7,12089046.0,2773982.4,5414935.6,1871067.0,3325039.4,17260338.1,1839881.4,15420456.7,22952263.5,20778523.4,2410121.9,749408.4
2023-04-12,17316983.7,5236330.3,12080653.5,2768043.3,5418537.4,1871722.7,3286623.6,17209864.9,1852031.4,15357833.6,22859357.4,20692243.9,2434771.8,748540.2
2023-04-19,17332775.6,5243968.4,12088807.2,2766429.3,5426532.6,1876606.4,3317507.3,17255173.9,1878065.7,15377108.2,22932949.1,20758581.3,2412875.0,788533.7
2023-04-26,17356244.5,5251158.5,12105086.0,2765843.0,5433069.4,1882281.8,3308854.4,17209361.7,1873929.3,15335432.5,22925099.9,20729767.3,2429562.9,767557.3
2023-05-03,17339324.4,5240913.5,12098410.9,2764125.0,5438158.8,1877227.7,3317404.8,17230468.2,1879727.8,15350740.4,22930757.7,20689801.8,2435491.5,735671.5
2023-05-10,17338791.6,5228558.4,12110233.2,2768860.2,5440396.0,1877815.2,3299868.4,17212927.3,1876035.9,15336891.4,22927268.3,20624189.9,2393246.1,700958.0
2023-05-17,17312584.5,5199668.5,12112916.0,2765447.6,5450784.4,1882390.0,3330312.3,17231029.5,1892345.1,15338684.4,22936746.0,20649733.4,2410816.5,711598.8
2023-05-24,17309363.6,5193946.7,12115416.9,2762192.4,5456605.3,1881932.1,3309070.4,17287296.2,1915020.8,15372275.4,22934589.8,20668413.2,2394759.0,725861.9
2023-05-31,17308763.9,5187972.4,12120791.5,2760919.1,5459615.3,1883455.6,3267855.6,17327246.2,1933139.1,15394107.1,22921397.2,20668539.3,2344989.6,742128.6
2023-06-07,17255520.1,5169888.7,12085631.4,2752610.7,5437839.8,1885577.6,3253369.9,17257777.1,1934796.0,15322981.1,22803343.7,20659541.1,2354306.2,791589.6
2023-06-14,17270011.8,5172831.9,12097179.9,2759527.0,5439420.8,1886117.6,3260737.1,17272862.1,1953481.0,15319381.0,22831368.1,20697897.1,2347387.1,810345.9
2023-06-21,17273862.2,5166791.1,12107071.0,2756790.5,5445082.3,1886473.1,3250136.1,17304415.9,1969304.9,15335111.0,22823139.8,20680421.3,2327230.6,817602.9
